,AXP,AMGN,AAPL,BA,CAT,CSCO,CVX,GS,HD,HON,IBM,INTC,JNJ,KO,JPM,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,CRM,VZ,V,WBA,WMT,DIS,DJI
2008-03-19,42.0,39.970001,4.631071,73.449997,73.730003,24.469999,81.889999,166.490005,26.84,52.540195,111.797325,21.09,64.879997,29.98,42.470001,53.66,79.470001,41.020992,28.620001,15.4575,67.809998,46.41,35.549999,14.1525,32.79549,14.125,36.380001,50.779999,31.24,12099.700195
2008-03-20,45.98,40.110001,4.759643,74.800003,73.82,24.77,83.209999,179.630005,28.059999,51.75843,113.126198,21.75,65.379997,30.52,45.970001,54.419998,77.980003,41.374046,29.18,16.817499,69.370003,47.790001,35.32,13.9575,33.719704,16.0875,36.779999,53.23,31.9,12361.299805
2008-03-24,47.41,40.98,4.983214,76.290001,76.029999,25.639999,84.010002,178.880005,29.26,52.444859,113.824089,22.129999,64.889999,30.59,46.549999,55.77,78.639999,42.223282,29.17,17.27,69.970001,47.689999,35.709999,14.91,34.513218,14.9325,38.610001,53.630001,32.040001,12548.599609
2008-03-25,47.509998,40.84,5.035,75.900002,76.639999,25.75,84.540001,179.630005,28.76,53.388695,112.782028,22.27,64.550003,30.705,46.060001,56.200001,78.980003,42.624046,29.139999,17.092501,69.540001,47.759998,35.279999,15.24,34.447868,15.8125,38.009998,53.049999,32.080002,12532.599609
2008-03-26,45.360001,42.0,5.180714,76.300003,77.360001,24.780001,84.959999,175.479996,28.16,53.035946,111.768639,21.860001,64.699997,30.575001,44.110001,55.599998,78.660004,42.652672,28.559999,16.567499,69.639999,47.549999,34.099998,14.81,33.738373,15.99,37.959999,52.900002,31.76,12422.900391
2008-03-27,44.830002,41.490002,5.008929,74.220001,77.029999,24.18,84.400002,168.139999,27.790001,52.435326,110.439774,21.09,64.620003,30.655001,42.860001,55.450001,77.860001,42.729008,28.049999,16.495001,69.410004,47.459999,34.0,14.1575,33.570335,15.7275,37.259998,52.369999,31.379999,12302.5
2008-03-28,43.150002,41.450001,5.1075,73.470001,77.089996,24.08,84.5,164.449997,27.379999,53.245689,109.531548,20.790001,64.18,30.469999,42.709999,55.48,77.949997,42.471375,27.91,16.465,69.440002,47.419998,34.400002,14.2125,33.467644,15.69,37.43,52.119999,31.0,12216.400391
2008-03-31,43.720001,41.779999,5.125,74.370003,78.290001,24.09,85.360001,165.389999,27.969999,53.789108,110.076485,21.18,64.870003,30.434999,42.950001,55.77,79.150002,36.21183,28.379999,17.0,70.07,47.849998,34.360001,14.4675,34.027775,15.59,38.09,52.68,31.379999,12262.900391
2008-04-01,47.09,42.16,5.340357,75.879997,79.980003,24.98,86.739998,176.860001,29.49,55.095226,111.367111,21.969999,65.870003,30.719999,47.0,56.91,81.32,36.564884,29.5,17.3925,71.139999,50.549999,36.25,15.305,35.442825,15.4025,38.93,54.080002,31.91,12654.400391
2008-04-02,46.650002,42.450001,5.2675,76.849998,78.510002,24.959999,87.510002,176.869995,29.16,54.942684,109.760994,21.85,65.309998,30.23,46.240002,56.66,80.910004,35.400764,29.16,16.9925,70.480003,49.939999,35.959999,15.575,35.602264,15.58,38.139999,54.459999,31.559999,12605.799805
2008-04-03,46.68,41.57,5.414643,76.139999,77.07,24.23,87.720001,176.529999,29.219999,54.952217,110.917786,21.93,65.269997,30.280001,46.279999,56.240002,80.169998,36.603054,29.0,17.225,70.470001,49.389999,36.150002,15.7,35.705433,16.375,38.189999,54.93,31.530001,12626.0
2008-04-04,46.110001,41.529999,5.467143,75.650002,77.830002,24.389999,88.050003,175.399994,28.790001,55.552841,110.669212,21.870001,65.730003,30.125,45.57,55.720001,80.519997,38.167938,29.16,17.127501,70.599998,49.299999,36.5,16.280001,35.020775,16.120001,37.900002,54.400002,31.24,12609.400391
2008-04-07,46.549999,41.490002,5.5675,74.980003,77.25,23.940001,88.269997,178.729996,28.5,55.400303,111.19503,21.75,66.139999,30.184999,45.540001,55.650002,80.190002,38.912212,29.16,16.7075,70.510002,50.18,36.669998,16.262501,35.077049,16.26,38.049999,54.23,31.52,12612.400391
2008-04-08,46.470001,41.490002,5.458571,75.019997,77.589996,23.959999,89.279999,178.899994,28.18,54.523205,111.156792,21.08,66.32,30.254999,44.860001,55.869999,79.879997,39.026718,28.75,16.6325,70.650002,48.880001,38.080002,15.9575,34.467422,17.022499,37.619999,54.450001,31.07,12576.400391
2008-04-09,45.080002,41.59,5.408571,78.599998,76.160004,23.530001,89.949997,174.139999,27.67,55.324032,111.634796,21.42,66.290001,30.389999,44.299999,55.740002,79.589996,39.064884,28.889999,16.610001,70.209999,49.029999,37.279999,15.815,33.782761,16.4475,36.91,54.139999,30.85,12527.299805
