,III.L,ABDN.L,ADM.L,AAL.L,ANTO.L,AHT.L,ABF.L,AZN.L,AV.L,BT-A.L,BDEV.L,BEZ.L,BKG.L,BP.L,BATS.L,BNZL.L,BRBY.L,CNA.L,CPG.L,CRH.L,CRDA.L,DCC.L,DGE.L,ENT.L,EXPN.L,FCIT.L,FLTR.L,FRAS.L,FRES.L,GLEN.L,GSK.L,HLMA.L,HL.L,HSX.L,HSBA.L,IMI.L,IMB.L,INF.L,IHG.L,IAG.L,ITRK.L,JD.L,JMAT.L,KGF.L,LAND.L,LGEN.L,LLOY.L,LSEG.L,MRO.L,MNDI.L,NG.L,NWG.L,NXT.L,OCDO.L,PSON.L,PSN.L,PHNX.L,PRU.L,RKT.L,REL.L,RTO.L,RMV.L,RIO.L,RR.L,RS1.L,SGE.L,SBRY.L,SDR.L,SMT.L,SGRO.L,SVT.L,SHEL.L,SN.L,SMDS.L,SMIN.L,SKG.L,SPX.L,SSE.L,STJ.L,STAN.L,TW.L,TSCO.L,ULVR.L,UTG.L,UU.L,VOD.L,WEIR.L,WTB.L,WPP.L,^FTSE
2011-05-19,290.200012,297.523712,1712.0,2946.855957,1201.0,177.699997,1057.0,3189.5,577.63147,196.399994,116.5,125.0,1135.0,447.899994,2725.0,755.0,1342.0,322.100006,646.978088,1358.400024,2082.378418,1792.045044,1287.0,113.0,798.0,317.5,2011.431641,215.399994,1325.0,530.0,1346.333618,383.0,599.5,598.237122,639.5,1189.714233,2214.0,407.390594,1958.569824,250.399994,1950.0,8.6,2258.422363,285.0,843.733276,116.599998,53.130001,840.085327,137.888901,607.5,679.090576,453.923004,2268.0,202.399994,1158.0,488.0,505.519989,612.945618,3323.165039,565.5,98.25,107.099998,4150.0,222.0298,208.5,305.8013,343.0,282.540009,166.425995,308.705109,1515.0,2165.5,694.0,129.475204,1250.0,837.0,2153.845459,1327.0,346.100006,1508.599854,38.049999,525.033081,1986.0,216.800003,626.5,180.115005,1899.0,1470.818115,762.0,5956.0
2011-05-20,291.399994,296.266602,1712.0,2937.897461,1207.0,177.300003,1090.0,3179.0,573.421021,198.399994,116.699997,126.400002,1134.0,460.0,2745.5,749.0,1351.0,319.899994,644.768127,1330.400024,2068.055176,1817.891968,1281.0,117.5,791.0,316.0,2003.727539,213.600006,1321.0,524.0,1342.304077,379.399994,605.5,603.832092,635.099976,1171.428467,2186.0,406.285797,1964.695068,247.600006,1969.0,8.895,2227.363281,280.899994,842.666626,116.199997,51.610001,826.268127,138.577805,602.5,689.999695,446.923004,2226.0,207.699997,1154.0,485.299988,505.147186,613.35968,3368.125488,564.5,98.300003,109.0,4115.0,217.911804,208.5,303.487091,342.0,282.200012,165.156006,307.175415,1502.0,2145.0,690.0,130.949402,1232.0,845.0,2153.845459,1341.0,347.0,1524.780518,38.139999,531.366394,1968.0,217.100006,629.0,181.314102,1882.0,1473.395508,761.0,5948.5
2011-05-23,285.899994,291.377686,1650.0,2817.455078,1160.0,173.800003,1078.0,3124.0,556.973572,194.899994,111.0,126.0,1104.0,452.0,2725.5,742.0,1331.0,315.200012,635.37561,1298.599976,2064.766113,1809.276001,1266.0,117.5,767.0,312.0,1972.899658,212.399994,1302.0,514.0,1324.171753,375.5,599.0,602.397522,626.700012,1134.857056,2165.0,392.476013,1917.223877,235.0,1917.0,8.9,2204.069336,277.0,830.933289,114.0,50.869999,818.898926,135.336197,588.0,679.636108,440.246094,2249.0,203.899994,1138.0,469.600006,506.265594,597.621887,3311.436279,550.0,96.300003,107.300003,4033.0,212.764206,208.5,298.542908,337.5,273.529999,161.488007,299.335907,1477.0,2095.0,671.0,130.757095,1210.0,827.0,2145.22998,1327.0,344.0,1490.991699,36.610001,525.476379,1948.0,212.5,613.0,178.811707,1845.0,1439.889648,746.0,5835.899902
2011-05-24,283.899994,289.561798,1648.0,2860.25708,1196.0,177.199997,1067.0,3122.5,551.973572,196.600006,110.800003,126.0,1112.0,456.399994,2718.5,745.0,1342.0,321.0,634.27063,1305.0,2093.306396,1799.368042,1264.0,119.5,774.0,312.299988,1972.899658,227.5,1356.0,525.0,1329.208496,380.399994,606.0,595.367798,623.5,1150.857056,2176.0,399.657104,1926.411865,230.800003,1944.0,9.05,2227.363281,276.899994,834.666626,112.900002,49.740002,836.400696,135.700897,592.0,681.2724,435.507599,2248.0,201.699997,1131.0,470.200012,504.028809,591.823792,3301.662109,549.0,96.900002,110.0,4115.0,214.136902,208.5,296.964996,342.100006,274.040009,161.542007,298.379791,1481.0,2119.0,672.0,132.744095,1221.0,825.0,2134.460693,1338.0,341.0,1490.991699,36.43,523.449707,1945.0,212.5,614.5,176.987106,1843.0,1423.566406,745.0,5858.399902
2011-05-25,288.200012,290.539612,1688.0,2867.224609,1216.0,172.0,1062.0,3140.5,556.447327,196.899994,112.900002,125.400002,1118.0,457.200012,2681.0,747.5,1320.0,318.299988,638.138123,1290.400024,2088.956299,1800.660034,1256.0,119.5,775.5,312.399994,1934.367432,215.0,1350.0,522.200012,1329.712158,381.0,607.5,595.367798,626.400024,1166.857056,2164.0,392.383911,1923.349243,234.300003,1956.0,9.03,2218.489502,279.799988,840.0,113.099998,50.740002,856.665894,134.525803,584.5,673.090576,444.661499,2195.0,200.100006,1123.0,473.700012,496.572693,595.551208,3295.797852,550.0,96.300003,107.699997,4148.0,214.480103,208.5,299.279297,341.899994,275.73999,161.070007,300.196289,1488.0,2118.0,670.5,133.769699,1212.0,824.0,2112.922363,1332.0,337.600006,1518.11792,36.130001,527.566406,1939.0,213.800003,617.0,175.788101,1884.0,1416.693359,743.5,5870.100098
2011-05-26,284.799988,289.1427,1688.0,2930.431885,1258.0,173.5,1066.0,3140.0,556.71051,196.0,111.400002,126.0,1099.0,461.200012,2717.0,752.0,1260.0,317.5,636.480591,1281.400024,2095.534424,1778.69104,1255.0,118.0,765.5,312.0,1953.633545,220.399994,1381.0,521.5,1325.682739,384.399994,611.0,597.089417,623.900024,1155.428467,2175.0,392.844208,1920.286621,235.300003,1971.0,9.04,2199.632324,279.799988,857.599976,113.900002,51.32,874.167725,135.2146,595.0,671.999695,439.923004,2232.0,210.5,1121.0,472.0,496.572693,600.93512,3322.1875,546.0,97.599998,107.699997,4148.5,213.793701,208.5,297.385803,343.0,274.720001,161.149994,302.108398,1502.0,2128.5,671.0,133.385101,1202.0,818.5,2107.537598,1347.0,338.899994,1510.50354,35.59,521.549683,1934.0,213.399994,622.0,174.589096,1984.0,1391.778809,739.5,5881.0
2011-05-27,287.200012,291.936401,1687.0,2978.210693,1312.0,180.800003,1065.0,3149.5,566.842102,197.399994,112.5,129.800003,1125.0,459.649994,2720.0,756.5,1290.0,316.899994,647.530579,1294.699951,2091.184326,1790.322021,1282.0,118.0,776.0,314.399994,1992.165649,225.0,1410.0,523.700012,1326.690063,388.0,626.0,600.102112,630.5,1178.285645,2170.0,393.764893,1955.50708,235.600006,1997.0,9.01,2246.220703,283.799988,880.0,115.699997,52.759998,911.934692,137.645798,604.0,675.817871,454.892303,2253.0,210.0,1125.0,479.399994,498.063904,607.561584,3315.345703,549.0,97.949997,109.5,4267.0,216.195908,208.5,301.593506,343.200012,277.440002,162.018005,306.028198,1517.0,2134.0,677.0,135.628494,1220.0,830.0,2141.999268,1366.0,341.100006,1527.635864,36.419998,526.933105,1940.0,215.899994,624.0,176.622192,1984.0,1395.215332,747.5,5938.899902
2011-05-31,288.200012,293.193512,1723.0,3016.035645,1329.0,182.800003,1077.0,3177.5,574.868408,200.800003,113.400002,127.5,1129.0,468.350006,2722.0,766.5,1319.0,318.100006,653.055603,1310.199951,2139.45874,1829.953979,1294.0,118.5,800.0,317.0,2155.288086,225.199997,1458.0,531.099976,1329.712158,394.200012,633.0,605.553711,634.799988,1186.285645,2176.0,400.485687,1983.071045,236.5,2046.0,9.5,2350.489502,287.100006,887.466614,117.099998,52.0,903.183777,138.658798,611.5,682.908813,458.769196,2270.0,222.699997,1142.0,477.200012,495.827087,610.874817,3359.328857,551.0,98.699997,110.400002,4245.0,218.254898,208.5,305.275391,345.600006,278.459991,165.037994,310.425903,1514.0,2192.0,677.0,135.243896,1236.0,859.5,2146.306885,1378.0,343.299988,1549.527222,36.84,530.796387,1971.0,215.699997,622.0,176.153,1995.0,1401.229248,757.0,5990.0
2011-06-01,286.100006,289.980804,1703.0,3002.5979,1309.0,177.0,1081.0,3185.0,568.552612,201.699997,111.400002,130.0,1125.0,466.149994,2733.0,769.0,1326.0,316.700012,653.055603,1281.400024,2141.687012,1853.215942,1296.0,117.5,794.5,315.399994,2145.015869,224.5,1478.0,513.900024,1316.616455,395.799988,630.0,598.380493,631.799988,1187.428467,2184.0,394.041107,1957.038452,234.899994,2013.0,9.63,2308.338379,282.100006,892.799988,116.599998,50.009998,904.104919,138.739807,615.5,650.181519,450.692291,2268.0,220.899994,1126.0,473.600006,495.827087,600.106812,3341.735596,549.0,97.300003,110.099998,4255.0,215.337997,208.5,299.805206,341.899994,277.609985,163.492004,309.565491,1505.0,2158.5,679.5,135.949005,1222.0,840.0,2153.845459,1380.0,338.0,1528.111816,36.580002,530.09967,1980.0,218.0,618.0,168.4375,1960.0,1363.427856,738.0,5928.600098
2011-06-02,284.5,287.047485,1684.0,2936.404297,1269.0,171.199997,1077.0,3125.0,563.026306,199.5,111.5,128.399994,1111.0,455.649994,2716.0,775.5,1308.0,314.600006,655.818115,1256.400024,2109.857666,1853.215942,1297.0,116.0,790.5,313.0,2116.755859,234.100006,1428.0,510.899994,1290.928955,394.600006,635.0,608.279419,627.200012,1171.428467,2184.0,391.187103,1909.567261,234.5,1994.0,9.89,2232.909668,279.299988,886.400024,113.699997,48.5,894.432922,138.091507,611.0,645.817871,449.722992,2254.0,223.5,1135.0,466.299988,495.827087,593.066223,3321.210205,548.5,97.75,109.400002,4142.5,213.622101,208.5,302.540314,338.700012,270.980011,164.472,306.601807,1493.0,2122.0,674.5,136.205399,1218.0,832.5,2152.768555,1387.0,338.200012,1509.075806,36.34,524.843079,1958.0,220.800003,613.0,167.707703,1959.0,1359.132202,732.0,5847.899902
