,ALGN,AMD,AMZN,AMGN,AEP,ADI,ANSS,AAPL,AMAT,ASML,ADSK,ATVI,ADP,AZN,BKR,AVGO,BIIB,BKNG,CDNS,ADBE,CHTR,CPRT,CSGP,CTAS,CSCO,CMCSA,COST,CSX,CTSH,DXCM,FANG,DLTR,EA,EBAY,ENPH,ON,EXC,FAST,META,FI,FTNT,GILD,GOOG,GOOGL,HON,ILMN,INTC,INTU,ISRG,MRVL,IDXX,KDP,KLAC,LRCX,LULU,MELI,MAR,MCHP,MDLZ,MNST,MSFT,MU,NFLX,NVDA,NXPI,ODFL,ORLY,PCAR,PANW,PAYX,PEP,QCOM,REGN,ROST,SIRI,SGEN,SBUX,SNPS,TSLA,TXN,TMUS,VRSK,VRTX,WBA,WBD,WDAY,XEL,NDX
2012-10-12,36.560001,2.74,12.118,84.0,44.119999,38.110001,69.550003,22.489643,10.9,52.990002,31.200001,11.16,51.202808,23.065001,44.77,32.98,147.199997,593.150024,12.51,31.940001,76.129997,6.68,8.14,41.860001,18.41,17.889999,97.550003,7.103333,34.77,3.4,17.5,41.110001,13.41,20.138889,3.63,5.86,25.756063,22.66,19.52,18.440001,4.852,33.970001,18.549223,18.637386,57.392845,51.16,21.48,59.889999,54.953335,8.75,47.970001,43.459999,45.150002,32.459999,73.43,84.82,38.16,15.855,27.219999,9.513333,29.200001,5.67,9.19,3.1575,21.959999,19.833332,83.300003,26.766666,20.986668,32.630001,70.050003,58.889999,150.729996,30.865,2.78,25.0,23.59,32.099998,1.842667,27.280001,23.76,47.029999,53.529999,35.939999,31.037302,48.689999,27.620001,2720.139893
2012-10-15,36.869999,2.75,12.209,86.220001,44.509998,38.560001,70.309998,22.67,10.96,52.810001,31.9,11.31,51.720806,23.23,44.950001,33.189999,149.410004,601.02002,12.56,32.330002,76.730003,6.685,8.139,42.0,18.549999,18.215,96.510002,7.15,34.900002,3.435,17.75,40.52,13.69,19.949495,3.8,6.03,26.077032,22.775,19.52,18.8025,4.95,33.66,18.455324,18.543043,58.012535,48.07,21.73,60.110001,56.947777,8.71,48.52,43.66,45.759998,32.669998,73.940002,87.150002,38.529999,16.1,27.219999,9.718333,29.51,5.72,9.251429,3.1975,22.940001,19.953333,82.510002,26.853333,21.85,32.84,70.339996,59.290001,154.490005,31.139999,2.8,25.040001,23.834999,32.18,1.822,28.219999,22.66,46.990002,53.240002,36.169998,31.440981,51.939999,27.74,2739.870117
2012-10-16,38.27,2.68,12.197,88.040001,44.560001,39.450001,71.330002,23.206785,11.2,53.59,32.68,11.24,52.001755,23.635,45.580002,34.349998,153.25,597.77002,12.97,33.240002,76.650002,6.6975,8.216,42.169998,18.85,18.334999,97.0,7.21,35.125,3.525,17.790001,40.52,13.98,20.30303,3.62,6.26,26.027103,22.459999,19.48,18.942499,4.96,34.189999,18.547977,18.636135,58.651295,48.189999,22.35,60.790001,59.236668,8.97,49.014999,44.580002,46.310001,33.439999,75.519997,90.279999,38.889999,16.315001,27.17,9.736667,29.49,5.78,9.435714,3.29,23.43,20.360001,81.620003,27.226667,21.856667,32.970001,70.300003,60.360001,157.910004,31.514999,2.84,26.940001,24.48,32.799999,1.870667,28.73,22.040001,47.380001,53.290001,36.369999,31.614716,52.16,27.83,2778.379883
2012-10-17,35.41,2.77,12.3745,89.199997,45.02,39.529999,71.480003,23.021786,11.16,50.080002,32.200001,11.31,52.089554,23.665001,46.720001,34.110001,153.779999,598.23999,12.82,33.439999,77.690002,6.82,8.2,42.349998,18.709999,18.559999,96.779999,7.063333,34.77,3.5275,17.700001,40.369999,13.87,20.286196,3.76,6.28,26.46933,22.719999,19.879999,18.9375,4.028,34.779999,18.816719,18.906157,59.00404,47.91,21.790001,60.91,59.156666,9.0,49.244999,44.689999,45.73,33.580002,75.349998,91.709999,38.790001,16.26,27.450001,9.53,29.59,5.78,9.788571,3.265,23.190001,20.573334,80.440002,27.273333,21.833332,33.07,70.099998,60.98,164.229996,30.905001,2.84,27.379999,24.195,32.790001,1.921333,28.469999,21.9,47.419998,53.950001,35.830002,31.292795,55.41,28.209999,2775.620117
2012-10-18,28.18,2.62,12.2425,89.790001,45.27,39.23,70.75,22.594286,11.19,51.34,31.59,11.3,51.8964,23.815001,47.099998,34.049999,149.559998,582.380005,12.72,33.470001,78.510002,6.8375,8.096,42.380001,18.610001,18.645,96.330002,7.12,34.685001,3.53,17.700001,39.360001,13.83,21.393099,3.7,6.26,26.733238,22.370001,18.98,18.965,3.906,34.145,17.310118,17.392391,58.555958,47.130001,21.67,60.619999,59.535557,8.83,49.48,45.27,46.57,36.009998,74.650002,88.43,38.889999,15.86,27.42,9.338333,29.5,5.65,9.622857,3.215,23.200001,20.540001,79.919998,27.226667,20.633333,32.959999,70.760002,59.959999,160.720001,31.309999,2.94,26.940001,23.705,32.560001,1.869333,28.76,22.299999,46.959999,52.630001,36.110001,31.563618,53.419998,28.27,2744.169922
2012-10-19,27.68,2.18,12.0,87.160004,44.98,38.450001,68.849998,21.780001,10.84,52.18,30.469999,11.18,51.290607,23.525,44.75,33.189999,145.649994,560.5,12.61,33.240002,78.540001,6.7925,7.747,41.880001,18.040001,18.475,94.779999,7.033333,34.384998,3.42,17.41,39.150002,13.08,21.031145,3.7,6.03,26.398003,21.879999,19.0,18.827499,3.944,33.294998,16.9811,17.061811,59.576061,46.68,21.27,59.82,59.816666,7.57,48.794998,44.459999,45.580002,35.369999,69.029999,85.230003,37.529999,15.675,27.01,8.886667,28.639999,5.45,9.282857,3.0275,22.209999,20.246668,80.580002,26.940001,20.006666,32.549999,69.879997,58.75,158.240005,30.940001,2.92,26.040001,22.844999,32.0,1.849333,27.809999,21.940001,46.5,50.240002,35.790001,30.884007,55.25,28.040001,2678.320068
2012-10-22,27.59,2.1,11.689,87.800003,44.950001,38.439999,68.400002,22.643929,10.86,53.310001,30.950001,11.14,51.097454,23.514999,44.02,33.400002,145.300003,567.200012,12.39,33.490002,78.169998,6.74,7.733,42.0,18.190001,18.514999,95.0,7.096667,34.904999,3.345,17.030001,38.98,13.05,21.106901,3.51,6.05,26.276749,22.200001,19.32,18.889999,3.89,33.189999,16.903393,16.983734,59.375854,46.619999,21.459999,59.939999,61.243332,7.46,48.945,44.330002,46.939999,35.849998,68.279999,85.610001,37.939999,15.645,27.0,7.621667,28.0,5.44,9.697143,2.9925,21.719999,20.086666,80.32,27.4,20.0,32.639999,69.599998,58.68,162.949997,30.16,2.91,26.030001,22.65,32.0,1.856667,27.790001,22.26,45.950001,49.869999,36.330002,31.042412,55.400002,28.0,2694.560059
2012-10-23,26.92,2.14,11.7155,87.32,44.619999,38.549999,69.07,21.905714,10.8,52.849998,31.370001,11.08,50.649693,23.145,43.049999,33.240002,142.059998,569.039978,12.42,33.310001,76.190002,6.715,7.772,41.490002,18.01,18.215,95.18,7.103333,34.794998,3.345,17.129999,39.189999,12.77,20.770203,3.42,6.12,25.863052,22.055,19.5,18.76,3.91,32.455002,16.945234,17.025776,58.679893,45.189999,21.59,59.580002,60.734444,7.62,48.494999,44.049999,46.599998,35.529999,68.849998,85.5,36.889999,15.82,26.68,6.846667,28.049999,5.41,9.745714,3.0825,22.620001,20.633333,82.639999,27.006666,19.916668,32.759998,68.519997,58.310001,152.990005,30.674999,2.87,25.700001,22.485001,32.189999,1.892667,27.84,21.6,46.299999,49.630001,35.389999,30.403679,54.380001,27.889999,2666.02002
2012-10-24,26.879999,2.08,11.4245,87.5,43.82,38.169998,69.360001,22.029642,10.69,53.880001,31.459999,11.08,50.798946,23.045,42.709999,32.73,142.059998,563.669983,12.71,33.360001,76.089996,6.755,7.835,41.259998,17.379999,18.209999,95.620003,6.863333,34.299999,3.3625,17.389999,40.259998,12.42,20.572392,3.49,5.91,25.584879,21.860001,23.23,18.702499,3.85,34.169998,16.86927,16.94945,58.174606,46.119999,21.459999,59.599998,60.334442,7.58,48.025002,42.610001,47.130001,35.450001,69.25,85.0,36.439999,15.755,26.530001,7.995,27.9,5.17,8.588571,3.0425,20.93,20.566668,81.699997,26.379999,19.916668,32.77,68.400002,57.630001,162.690002,30.5,2.89,25.209999,22.629999,32.34,1.828,27.700001,21.559999,46.5,49.5,35.450001,30.173735,52.119999,27.65,2655.550049
2012-10-25,26.49,2.12,11.146,88.050003,43.91,38.689999,69.040001,21.769285,10.68,54.330002,32.099998,11.06,51.123795,23.35,43.419998,33.700001,144.429993,557.869995,12.73,33.400002,76.190002,6.835,8.314,41.369999,17.200001,18.18,96.620003,6.86,34.084999,3.35,17.030001,40.049999,12.21,20.345118,3.64,6.02,25.420828,21.525,22.559999,18.782499,3.874,33.689999,16.880728,16.96096,58.565491,47.599998,21.690001,59.439999,60.625557,7.74,48.119999,42.919998,47.139999,35.68,67.690002,84.32,36.470001,15.705,26.469999,7.848333,27.879999,5.69,8.787143,3.045,23.49,21.18,84.459999,28.52,19.35,32.810001,68.889999,57.43,155.229996,30.325001,2.85,25.639999,23.125,32.279999,1.834667,28.129999,21.440001,46.290001,50.110001,35.330002,30.025549,49.240002,28.030001,2657.659912
