Date,Price,Open,High,Low,Vol.,Change %
2012-06-18,510.81,509.62,514.55,508.64,22.57,0.57
2012-06-19,506.67,508.37,510.6,505.02,12.69,-0.81
2012-06-20,508.23,507.23,510.37,504.02,10.66,0.31
2012-06-21,504.71,504.85,507.84,504.52,13.24,-0.69
2012-06-22,500.34,503.97,504.21,499.4,17.35,-0.87
2012-06-25,498.09,499.37,503.58,496.43,16.44,-0.45
2012-06-26,493.73,496.72,496.72,492.34,17.76,-0.88
2012-06-27,492.77,494.63,497.29,492.72,13.39,-0.19
2012-06-28,491.71,492.5,493.38,489.93,11.86,-0.22
2012-06-29,497.73,494.03,497.73,492.48,9.13,1.22
2012-07-02,492.66,496.45,498.47,491.33,12.21,-1.02
2012-07-03,486.95,489.92,491.0,485.18,14.68,-1.16
2012-07-04,485.42,487.69,490.86,485.42,8.39,-0.31
2012-07-05,488.82,485.27,488.82,483.75,9.45,0.7
2012-07-06,490.64,489.41,493.74,488.99,10.9,0.37
2012-07-09,482.49,487.75,488.99,482.03,10.27,-1.66
2012-07-10,479.58,482.21,484.13,479.58,8.04,-0.6
2012-07-11,481.57,479.15,482.81,479.15,6.96,0.41
2012-07-12,483.12,479.88,483.68,479.54,8.35,0.32
2012-07-13,492.36,484.56,492.44,484.56,16.38,1.91
2012-07-16,488.63,493.47,494.06,488.08,10.31,-0.76
2012-07-17,493.04,484.62,493.42,484.62,12.63,0.9
2012-07-18,494.11,493.34,495.61,491.73,12.59,0.22
2012-07-19,502.6,494.22,502.6,493.03,25.71,1.72
2012-07-20,497.43,507.48,507.98,497.43,26.19,-1.03
2012-07-23,495.86,496.65,500.33,495.08,16.28,-0.32
2012-07-24,491.34,494.3,495.23,489.25,14.98,-0.91
2012-07-25,488.37,488.16,491.43,487.62,13.74,-0.6
2012-07-26,490.78,488.89,492.65,488.62,11.82,0.49
2012-07-27,489.61,492.91,493.88,488.47,13.74,-0.24
2012-07-30,492.29,487.18,492.95,486.57,11.24,0.55
2012-07-31,491.98,491.86,493.76,491.15,7.6,-0.06
2012-08-01,489.76,491.0,491.26,487.65,9.53,-0.45
2012-08-02,494.12,492.43,495.69,492.15,6.92,0.89
2012-08-03,497.38,496.32,498.49,495.95,6.73,0.66
2012-08-06,502.97,497.9,504.01,497.9,15.4,1.12
2012-08-07,502.07,503.36,505.72,502.07,8.89,-0.18
2012-08-08,503.74,501.7,504.0,500.44,7.86,0.33
2012-08-09,508.58,504.91,509.11,504.87,12.45,0.96
2012-08-10,506.6,509.28,509.28,505.8,9.35,-0.39
2012-08-13,508.99,505.83,508.99,504.37,7.18,0.47
2012-08-14,513.36,509.76,514.8,507.73,30.33,0.86
2012-08-15,516.05,513.83,517.67,513.83,14.85,0.52
2012-08-16,514.47,516.79,518.84,513.08,8.72,-0.31
2012-08-17,515.55,514.66,517.09,513.46,13.38,0.21
2012-08-20,521.28,517.47,521.75,516.62,14.52,1.11
2012-08-21,496.39,510.61,510.61,495.59,27.33,-4.77
2012-08-22,486.32,480.87,489.9,480.58,26.4,-2.03
2012-08-23,464.83,472.82,472.85,463.11,22.65,-4.42
2012-08-24,472.75,448.65,475.38,446.06,38.81,1.7
2012-08-27,456.32,466.31,468.0,454.84,19.88,-3.48
2012-08-28,454.1,449.05,454.98,446.83,15.57,-0.49
2012-08-29,459.64,457.34,463.0,457.34,17.01,1.22
2012-08-30,465.42,460.63,468.59,459.54,13.93,1.26
2012-08-31,465.29,465.35,468.25,463.1,12.04,-0.03
2012-09-04,472.78,466.59,474.91,466.57,10.11,1.61
2012-09-05,469.46,473.42,476.0,466.06,16.84,-0.7
2012-09-06,463.63,466.77,469.31,463.58,10.71,-1.24
2012-09-07,465.94,463.95,467.26,462.41,11.56,0.5
2012-09-10,455.59,463.93,464.54,452.63,19.76,-2.22
2012-09-11,453.39,449.61,453.99,449.61,13.46,-0.48
2012-09-12,453.96,453.2,457.49,452.75,13.24,0.13
2012-09-13,456.11,453.87,456.11,452.35,12.86,0.47
2012-09-14,463.9,463.13,465.92,460.16,17.44,1.71
2012-09-17,468.32,464.18,472.47,464.18,12.87,0.95
2012-09-18,460.44,470.13,473.64,459.26,18.36,-1.68
2012-09-19,457.13,454.24,460.94,454.24,19.38,-0.72
2012-09-20,449.66,453.89,454.71,445.4,21.44,-1.63
