,BID,BVH,CTG,FPT,GAS,HPG,KDH,MBB,MSN,MWG,NVL,PDR,PNJ,REE,SBT,SSI,STB,TCH,VCB,VIC,VNM,VN30
2016-12-30,10531.3,58200.0,15050.0,15852.0,60600.0,6770.2,9221.5,5151.6,43200.0,18328.0,25522.0,11909.0,22097.6,24650.0,20035.1,9521.4,9450.0,12181.1,26307.0,34711.0,99213.0,628.21
2017-01-03,11235.8,59300.0,16100.0,16158.2,60100.0,6903.6,9198.4,5059.6,43600.0,18411.0,25055.0,11818.0,22164.0,25000.0,21261.8,9740.0,8790.0,12181.1,27643.0,34380.0,100082.0,633.89
2017-01-04,11458.3,60100.0,16400.0,16302.3,61500.0,6903.6,9198.4,5004.4,42333.0,18481.0,25225.0,11773.0,22230.5,25000.0,20771.1,9740.0,8200.0,12109.0,27457.0,34752.0,100240.0,632.7
2017-01-05,11421.2,61100.0,16500.0,16248.3,61500.0,6919.3,8944.8,4967.6,42067.0,18540.0,25097.0,11818.0,22263.7,25300.0,20607.6,9764.3,8580.0,12289.2,27569.0,34959.0,100082.0,634.83
2017-01-06,11680.8,61400.0,16650.0,16194.3,60400.0,6809.4,9083.2,5059.6,42133.0,18540.0,25140.0,11818.0,22895.1,25000.0,20525.8,9861.4,8780.0,12217.1,28125.0,35620.0,99529.0,636.34
2017-01-09,12014.5,61600.0,17100.0,16284.3,60500.0,6770.2,9083.2,5041.2,41733.0,18411.0,25182.0,11818.0,23227.4,24900.0,20444.0,9958.6,8990.0,12397.3,28719.0,35702.0,99529.0,638.4
2017-01-10,11940.4,60800.0,16900.0,16572.5,60000.0,6880.0,9083.2,5041.2,42467.0,18469.0,25055.0,11909.0,23194.2,24200.0,20362.2,9885.7,9000.0,12109.0,28496.0,35455.0,99608.0,639.36
2017-01-11,12311.2,60900.0,17700.0,16608.6,60400.0,6903.6,9129.3,5059.6,42200.0,18798.0,25097.0,11909.0,23061.2,24700.0,20362.2,9861.4,9030.0,12217.1,28533.0,35537.0,100319.0,643.39
2017-01-12,12237.0,62500.0,17600.0,16554.5,60500.0,6848.7,9129.3,5096.4,41800.0,18798.0,24970.0,11864.0,23061.2,25000.0,20035.1,9934.3,9040.0,12109.0,28125.0,35537.0,100319.0,642.25
2017-01-13,12051.6,62000.0,17300.0,16176.2,59600.0,6778.1,9129.3,5059.6,41800.0,18740.0,25055.0,11864.0,22961.5,25100.0,20444.0,9958.6,8950.0,12036.9,27791.0,35785.0,100240.0,640.07
2017-01-16,11717.9,61600.0,16500.0,15852.0,58000.0,6589.8,9129.3,5022.8,41800.0,18622.0,25140.0,11909.0,22861.9,25000.0,20035.1,9910.0,8960.0,11892.7,27717.0,35413.0,99924.0,632.7
2017-01-17,12459.5,62000.0,17650.0,15996.1,56700.0,6589.8,9129.3,5206.8,41800.0,18563.0,24970.0,11909.0,22795.4,25000.0,20035.1,10007.2,9240.0,11532.4,28904.0,35248.0,99608.0,637.54
2017-01-18,12199.9,60800.0,17300.0,15779.9,57400.0,6527.0,9083.2,5151.6,41667.0,18563.0,25013.0,11909.0,22895.1,25750.0,20035.1,9910.0,9450.0,11388.2,28422.0,34793.0,99529.0,633.1
2017-01-19,12199.9,60800.0,17650.0,15779.9,57400.0,6503.5,9083.2,5114.8,41333.0,18505.0,24673.0,11909.0,22895.1,25750.0,19789.8,9788.6,9590.0,11280.1,28199.0,34711.0,99529.0,631.0
